index,vehicle_id,speed,accuracy,humidity,visibility,rainfall,latency,voltage,temperature,cpu_load,storage,satellites,rsrp,edge_inference_ms,network_status,perception_confidence,obstacle_confidence,road_impact_g,latitude,longitude,weather,site,site_type
0,YC-SHUTTLE-MINIBUS-02,33.8,0.22,83.9,681,3.0,61,12.43,40.4,47.7,71.7,25,-81,28.1,5G在线,83.9,90.6,0.08,29.406148,105.887354,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
1,YC-SHUTTLE-MINIBUS-02,34.7,0.19,85.0,680,2.7,55,12.46,41.3,45.4,70.2,24,-86,22.2,5G在线,82.4,84.2,0.1,29.406149,105.887384,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
2,YC-SHUTTLE-MINIBUS-02,35.1,0.22,84.1,698,3.4,54,12.46,40.9,45.9,71.1,23,-85,29.8,5G在线,83.2,86.5,0.1,29.406151,105.887414,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
3,YC-SHUTTLE-MINIBUS-02,36.2,0.18,85.2,699,3.6,57,12.42,40.5,49.9,71.4,25,-85,30.4,5G在线,85.3,87.5,0.08,29.406152,105.887444,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
4,YC-SHUTTLE-MINIBUS-02,37.0,0.22,85.3,691,3.7,54,12.38,41.0,46.4,71.9,24,-78,23.2,5G在线,84.7,87.1,0.12,29.406153,105.887474,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
5,YC-SHUTTLE-MINIBUS-02,37.6,0.2,86.1,722,3.7,49,12.38,40.5,47.5,72.6,22,-87,23.1,5G在线,81.2,83.4,0.12,29.406155,105.887504,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
6,YC-SHUTTLE-MINIBUS-02,38.2,0.22,84.9,701,4.2,43,12.34,40.6,51.2,71.2,25,-78,27.8,5G在线,84.3,85.4,0.12,29.406156,105.887534,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
7,YC-SHUTTLE-MINIBUS-02,38.5,0.21,85.4,701,4.3,55,12.44,41.4,45.5,72.0,25,-86,26.2,5G在线,83.4,88.3,0.1,29.406157,105.887564,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
8,YC-SHUTTLE-MINIBUS-02,39.1,0.2,86.5,727,3.9,53,12.35,40.9,51.4,69.7,24,-82,26.5,5G在线,83.8,87.9,0.09,29.406158,105.887594,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
9,YC-SHUTTLE-MINIBUS-02,39.7,0.21,85.6,711,4.0,51,12.46,41.8,46.7,70.3,22,-86,21.9,5G在线,83.8,85.7,0.11,29.40616,105.887624,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
10,YC-SHUTTLE-MINIBUS-02,39.6,0.2,86.0,714,4.0,53,12.53,41.8,51.9,71.0,25,-82,25.9,5G在线,84.8,84.1,0.1,29.406161,105.887654,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
11,YC-SHUTTLE-MINIBUS-02,40.5,0.22,85.2,722,4.6,59,12.47,41.5,45.8,71.2,24,-84,25.9,5G在线,83.9,89.8,0.09,29.406162,105.887683,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
12,YC-SHUTTLE-MINIBUS-02,40.6,0.22,85.6,713,4.1,50,12.46,41.5,49.8,71.1,22,-86,24.7,5G在线,83.9,86.8,0.08,29.406164,105.887713,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
13,YC-SHUTTLE-MINIBUS-02,40.7,0.19,86.9,743,4.4,55,12.48,41.5,47.6,71.5,24,-83,26.5,5G在线,81.9,87.5,0.11,29.406165,105.887743,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
14,YC-SHUTTLE-MINIBUS-02,41.4,0.22,85.9,742,4.5,49,12.4,41.9,46.1,72.6,25,-84,30.4,5G在线,83.4,87.8,0.11,29.406166,105.887772,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
15,YC-SHUTTLE-MINIBUS-02,41.5,0.19,86.0,743,4.0,51,12.38,42.0,51.1,69.7,23,-86,25.6,5G在线,82.4,85.9,0.1,29.406167,105.887802,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
16,YC-SHUTTLE-MINIBUS-02,41.6,0.22,85.4,738,4.0,59,12.38,41.0,45.7,71.2,25,-80,21.2,5G在线,84.7,91.8,0.11,29.406168,105.887832,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
17,YC-SHUTTLE-MINIBUS-02,41.4,0.19,87.6,740,4.2,64,12.36,41.0,52.5,72.2,24,-82,25.4,5G在线,81.3,84.9,0.08,29.40617,105.887861,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
18,YC-SHUTTLE-MINIBUS-02,41.2,0.19,87.5,726,3.9,47,12.48,40.7,49.3,71.0,25,-86,30.2,5G在线,81.6,91.7,0.09,29.406171,105.887891,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
19,YC-SHUTTLE-MINIBUS-02,41.7,0.2,86.8,750,4.1,50,12.53,40.9,51.4,69.7,21,-84,28.8,5G在线,81.7,84.7,0.09,29.406172,105.88792,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
20,YC-SHUTTLE-MINIBUS-02,41.6,0.22,86.3,720,4.0,44,12.37,40.8,51.0,71.6,24,-86,24.2,5G在线,81.2,87.6,0.11,29.406173,105.88795,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
21,YC-SHUTTLE-MINIBUS-02,41.1,0.22,85.1,738,3.3,58,12.46,41.7,47.8,71.5,21,-87,26.1,5G在线,82.4,87.4,0.11,29.406174,105.887979,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
22,YC-SHUTTLE-MINIBUS-02,40.8,0.2,85.8,736,3.7,54,12.4,41.1,50.0,70.3,23,-78,29.1,5G在线,83.7,91.7,0.11,29.406175,105.888009,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
23,YC-SHUTTLE-MINIBUS-02,40.7,0.18,84.9,753,3.3,50,12.45,41.4,53.2,70.1,21,-81,22.3,5G在线,85.1,85.6,0.1,29.406176,105.888038,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
24,YC-SHUTTLE-MINIBUS-02,41.0,0.21,86.3,736,2.8,62,12.36,41.7,45.6,70.5,22,-84,30.7,5G在线,80.9,91.0,0.08,29.406177,105.888067,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
25,YC-SHUTTLE-MINIBUS-02,40.7,0.22,85.3,742,2.7,54,12.43,40.9,49.0,72.1,25,-85,27.6,5G在线,81.7,85.9,0.1,29.406179,105.888097,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
26,YC-SHUTTLE-MINIBUS-02,40.9,0.22,84.4,739,2.5,59,12.4,41.0,51.8,71.3,24,-87,22.1,5G在线,85.5,91.7,0.1,29.40618,105.888126,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
27,YC-SHUTTLE-MINIBUS-02,40.5,0.22,85.5,734,2.2,44,12.38,41.0,49.2,69.8,23,-78,23.3,5G在线,81.5,86.1,0.09,29.406181,105.888155,小雨,重庆永川 · 凤凰湖产业园道路测试段,产业园道路 / 路口汇入 / 缓丘起伏
